temperature,liminosity,radius,absolute_magnitude,star_type,star_color
3068,0.0024,0.17,16.12,0,RED
3042,0.0005,0.1542,16.6,0,RED
2600,0.0003,0.102,18.7,0,RED
2800,0.0002,0.16,16.65,0,RED
1939,0.000138,0.103,20.06,0,RED
2840,0.00065,0.11,16.98,0,RED
2637,0.00073,0.127,17.22,0,RED
2600,0.0004,0.096,17.4,0,RED
2650,0.00069,0.11,17.45,0,RED
2700,0.00018,0.13,16.05,0,RED
3600,0.0029,0.51,10.69,1,RED
3129,0.0122,0.3761,11.79,1,RED
3134,0.0004,0.196,13.21,1,RED
3628,0.0055,0.393,10.48,1,RED
2650,0.0006,0.14,11.782,1,RED
3340,0.0038,0.24,13.07,1,RED
2799,0.0018,0.16,14.79,1,RED
3692,0.00367,0.47,10.8,1,RED
3192,0.00362,0.1967,13.53,1,RED
3441,0.039,0.351,11.18,1,RED
25000,0.056,0.0084,10.58,2,BLUE-WHITE
7740,0.00049,0.01234,14.02,2,WHITE
7220,0.00017,0.011,14.23,2,WHITE
8500,0.0005,0.01,14.5,2,WHITE
16500,0.013,0.014,11.89,2,BLUE-WHITE
12990,8.5e-05,0.00984,12.23,2,YELLOWISH-WHITE
8570,0.00081,0.0097,14.2,2,BLUE-WHITE
7700,0.00011,0.0128,14.47,2,YELLOWISH-WHITE
11790,0.00015,0.011,12.59,2,YELLOWISH-WHITE
39000,204000.0,10.6,-4.7,3,BLUE
30000,28840.0,6.3,-4.2,3,BLUE-WHITE
15276,1136.0,7.2,-1.97,3,BLUE-WHITE
9700,74.0,2.89,0.16,3,WHITISH
5800,0.81,0.9,5.05,3,YELLOW-WHITE
8052,8.7,1.8,2.42,3,WHITISH
6757,1.43,1.12,2.41,3,YELLOW-WHITE
6380,1.35,0.98,2.93,3,YELLOW-WHITE
5936,1.357,1.106,4.46,3,YELLOW-WHITE
5587,0.819,0.99,5.03,3,YELLOW-WHITE
3826,200000.0,19.0,-6.93,4,RED
3365,340000.0,23.0,-6.2,4,RED
3270,150000.0,88.0,-6.02,4,RED
3200,195000.0,17.0,-7.22,4,RED
3008,280000.0,25.0,-6.0,4,RED
3600,320000.0,29.0,-6.6,4,RED
3575,123000.0,45.0,-6.78,4,RED
3574,200000.0,89.0,-5.24,4,RED
3625,184000.0,84.0,-6.74,4,RED
33750,220000.0,26.0,-6.1,4,BLUE
3490,270000.0,1520.0,-9.4,5,RED
3750,283000.0,1260.0,-7.63,5,RED
3834,272000.0,1183.0,-9.2,5,RED
3749,550000.0,1648.0,-8.05,5,ORANGE
3650,310000.0,1324.0,-7.79,5,RED
3450,263000.0,1349.0,-11.75,5,RED
3660,363000.0,1673.0,-11.92,5,RED
3450,174000.0,1284.0,-11.28,5,RED
3752,209000.0,955.0,-11.24,5,RED
3535,195000.0,1546.0,-11.36,5,RED
3341,0.0056,0.057,16.23,0,RED
3432,0.00067,0.19,16.94,0,RED
2983,0.00024,0.094,16.09,0,RED
2835,0.00034,0.0918,16.96,0,RED
2935,0.00014,0.116,18.89,0,RED
3295,0.00098,0.132,17.13,0,RED
2945,0.00032,0.093,18.34,0,RED
2817,0.00098,0.0911,16.45,0,RED
2774,0.00036,0.118,17.39,0,RED
2871,0.00072,0.12,19.43,0,RED
3345,0.021,0.273,12.3,1,RED
3607,0.022,0.38,10.12,1,RED
3304,0.0085,0.18,13.2,1,RED
3150,0.0088,0.35,11.94,1,RED
3550,0.004,0.291,10.89,1,RED
3180,0.001,0.35,11.76,1,RED
2890,0.0034,0.24,13.46,1,RED
3342,0.0015,0.307,11.87,1,RED
2621,0.0006,0.098,12.81,1,RED
3158,0.00135,0.161,13.98,1,RED
10574,0.00014,0.0092,12.02,2,WHITE
8930,0.00056,0.0095,13.78,2,WHITE
17200,0.00098,0.015,12.45,2,BLUE-WHITE
14100,0.00067,0.0089,12.17,2,BLUE-WHITE
9675,0.00045,0.0109,13.98,2,BLUE-WHITE
12010,0.00078,0.0092,12.13,2,BLUE-WHITE
10980,0.00074,0.0087,11.19,2,BLUE-WHITE
13720,0.00018,0.00892,12.97,2,WHITE
19860,0.0011,0.0131,11.34,2,BLUE
5300,0.59,0.91,5.49,3,YELLOW-WHITE
4526,0.153,0.865,6.506,3,YELLOWISH
4077,0.085,0.795,6.228,3,YELLOWISH
4980,0.357,1.13,4.78,3,YELLOWISH
9030,45.0,2.63,1.45,3,BLUE-WHITE
11250,672.0,6.98,-2.3,3,BLUE-WHITE
7720,7.92,1.34,2.44,3,YELLOW-WHITE
12098,689.0,7.01,0.02,3,BLUE-WHITE
36108,198000.0,10.2,-4.4,3,BLUE
33300,240000.0,12.0,-6.5,4,BLUE
40000,813000.0,14.0,-6.23,4,BLUE
23000,127000.0,36.0,-5.76,4,BLUE
17120,235000.0,83.0,-6.89,4,BLUE
11096,112000.0,12.0,-5.91,4,BLUE
14245,231000.0,42.0,-6.12,4,BLUE
24630,363000.0,63.0,-5.83,4,BLUE
12893,184000.0,36.0,-6.34,4,BLUE
24345,142000.0,57.0,-6.24,4,BLUE
33421,352000.0,67.0,-5.79,4,BLUE
3459,100000.0,1289.0,-10.7,5,RED
3605,126000.0,1124.0,-10.81,5,RED
3615,200000.0,1635.0,-11.33,5,RED
3399,117000.0,1486.0,-10.92,5,RED
3610,132000.0,1522.0,-10.86,5,RED
3553,145000.0,1324.0,-11.03,5,RED
4015,282000.0,1534.0,-11.39,5,RED
3625,74000.0,876.0,-10.25,5,RED
6850,229000.0,1467.0,-10.07,5,RED
3780,200000.0,1324.0,-10.7,5,RED
3323,0.00043,0.0912,17.16,0,RED
3531,0.00093,0.0976,19.94,0,RED
3218,0.00054,0.11,20.02,0,RED
3146,0.00015,0.0932,16.92,0,RED
3511,0.00064,0.109,17.12,0,RED
3225,0.00076,0.121,19.63,0,RED
2935,0.00087,0.0932,16.88,0,RED
2861,0.00019,0.0899,16.71,0,RED
2856,0.000896,0.0782,19.56,0,RED
2731,0.000437,0.0856,18.09,0,RED
3095,0.00019,0.492,10.87,1,RED
3607,0.00023,0.38,10.34,1,RED
3100,0.008,0.31,11.17,1,RED
2989,0.0087,0.34,13.12,1,RED
3542,0.0009,0.62,14.23,1,RED
3243,0.0023,0.73,14.75,1,RED
3091,0.0081,0.24,11.43,1,RED
3598,0.0011,0.56,14.26,1,RED
3324,0.0034,0.34,12.23,1,RED
3541,0.0013,0.256,14.33,1,RED
13420,0.00059,0.00981,13.67,2,BLUE-WHITE
21020,0.0015,0.0112,11.52,2,BLUE
18290,0.0013,0.00934,12.78,2,BLUE
14520,0.00082,0.00972,11.92,2,BLUE-WHITE
11900,0.00067,0.00898,11.38,2,BLUE-WHITE
8924,0.00028,0.00879,14.87,2,BLUE-WHITE
12912,0.00071,0.00945,12.83,2,BLUE-WHITE
14732,0.00011,0.00892,12.89,2,WHITE
7723,0.00014,0.00878,14.81,2,WHITE
12984,0.00088,0.00996,11.23,2,BLUE-WHITE
29560,188000.0,6.02,-4.01,3,BLUE-WHITE
8945,38.0,2.487,0.12,3,BLUE-WHITE
14060,1092.0,5.745,-2.04,3,BLUE-WHITE
16390,1278.0,5.68,-3.32,3,BLUE-WHITE
25070,14500.0,5.92,-3.98,3,BLUE-WHITE
28700,16790.0,6.4,-4.09,3,BLUE-WHITE
26140,14520.0,5.49,-3.8,3,BLUE-WHITE
20120,4720.0,6.78,-3.4,3,BLUE-WHITE
13023,998.0,6.21,-1.38,3,BLUE-WHITE
37800,202900.0,6.86,-4.56,3,BLUE
25390,223000.0,57.0,-5.92,4,BLUE
11567,251000.0,36.0,-6.245,4,BLUE
12675,452000.0,83.0,-5.62,4,BLUE
5752,245000.0,97.0,-6.63,4,BLUE
8927,239000.0,35.0,-7.34,4,BLUE
7282,131000.0,24.0,-7.22,4,BLUE
19923,152000.0,73.0,-5.69,4,BLUE
26373,198000.0,39.0,-5.83,4,BLUE
17383,342900.0,30.0,-6.09,4,BLUE
9373,424520.0,24.0,-5.99,4,BLUE
3570,320000.0,1480.0,-7.58,5,RED
3500,138000.0,1420.0,-8.18,5,RED
4287,630000.0,1315.0,-9.2,5,ORANGE
26000,316000.0,1679.0,-9.1,5,BLUE
3600,240000.0,1190.0,-7.89,5,RED
3614,145000.0,1553.0,-7.71,5,RED
18000,200000.0,1045.0,-8.3,5,BLUE
11000,170000.0,1779.0,-9.9,5,BLUE-WHITE
12100,120000.0,708.9,-7.84,5,BLUE-WHITE
24490,248490.0,1134.5,-8.24,5,BLUE-WHITE
2831,0.000231,0.0915,16.21,0,RED
2914,0.000631,0.116,18.39,0,RED
3419,0.000245,0.126,17.56,0,RED
3218,0.000452,0.0987,17.34,0,RED
3453,0.000621,0.0773,17.08,0,RED
2889,0.000352,0.0973,16.93,0,RED
2968,0.000461,0.119,17.45,0,RED
3484,0.000551,0.0998,16.67,0,RED
2778,0.000849,0.112,19.45,0,RED
3523,0.000957,0.129,16.35,0,RED
3462,0.0053,0.148,11.47,1,RED
3257,0.0024,0.46,10.73,1,RED
2994,0.0072,0.28,13.45,1,RED
3212,0.0016,0.378,12.854,1,RED
3523,0.0054,0.319,12.43,1,RED
3598,0.0027,0.67,13.667,1,RED
3142,0.00132,0.258,14.12,1,RED
3496,0.00125,0.336,14.94,1,RED
3324,0.0065,0.471,12.78,1,RED
3463,0.0027,0.675,14.776,1,RED
16790,0.0014,0.0121,12.87,2,BLUE
15680,0.00122,0.0114,11.92,2,BLUE
14982,0.00118,0.0113,12.23,2,BLUE
13340,0.00109,0.0116,12.9,2,BLUE
18340,0.00134,0.0124,11.22,2,BLUE
19920,0.00156,0.0142,11.34,2,BLUE
24020,0.00159,0.0127,10.55,2,BLUE
23092,0.00132,0.0104,10.18,2,BLUE
17920,0.00111,0.0106,11.66,2,BLUE
19360,0.00125,0.00998,11.62,2,BLUE
22350,12450.0,6.36,-3.67,3,BLUE-WHITE
10012,552.0,5.856,0.013,3,BLUE-WHITE
13089,788.0,5.992,-0.12,3,BLUE-WHITE
22012,6748.0,6.64,-2.55,3,BLUE-WHITE
34190,198200.0,6.39,-4.57,3,BLUE
32460,173800.0,6.237,-4.36,3,BLUE
9320,29.0,1.91,1.236,3,BLUE-WHITE
19400,10920.0,6.03,-3.08,3,BLUE-WHITE
17140,883.0,5.653,-2.64,3,BLUE-WHITE
8250,9.25,1.93,-0.98,3,YELLOW-WHITE
23678,244290.0,35.0,-6.27,4,BLUE
12749,332520.0,76.0,-7.02,4,BLUE
9383,342940.0,98.0,-6.98,4,BLUE
23440,537430.0,81.0,-5.975,4,BLUE
16787,246730.0,62.0,-6.35,4,BLUE
18734,224780.0,46.0,-7.45,4,BLUE
9892,593900.0,80.0,-7.262,4,BLUE
10930,783930.0,25.0,-6.224,4,BLUE
23095,347820.0,86.0,-5.905,4,BLUE
21738,748890.0,92.0,-7.346,4,BLUE
24145,382993.0,1494.0,-8.84,5,BLUE-WHITE
38234,272830.0,1356.0,-9.29,5,BLUE
32489,648430.0,1948.5,-10.84,5,BLUE
27739,849420.0,1252.0,-7.59,5,BLUE-WHITE
21904,748490.0,1130.0,-7.67,5,BLUE-WHITE
38940,374830.0,1356.0,-9.93,5,BLUE
30839,834042.0,1194.0,-10.63,5,BLUE
8829,537493.0,1423.0,-10.73,5,WHITE
9235,404940.0,1112.0,-11.23,5,WHITE
37882,294903.0,1783.0,-7.8,5,BLUE
